#
#  spne170187cyc 17.0 Reactions link table generated on Wed Sep 25, 2013
#
RXN-12398	EC-3.2.1.23
RXN-12399	EC-3.2.1.23
RXN-12400	EC-3.2.1.23
RXN-13202	EC-6.3.5.5
2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5
RXN-12626	EC-3.2.1.52
1.1.1.178-RXN	EC-1.1.1.178
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
THYMIDYLATESYN-RXN	EC-2.1.1.45
SULFOCYS-RXN	EC-2.5.1.47
DIACYLGLYKIN-RXN	EC-2.7.1.107
RXN-12625	EC-3.2.1.52
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.9
GLUTAMIN-RXN	EC-3.5.1.2
DIHYDROOROT-RXN	EC-3.5.2.3
F16ALDOLASE-RXN	EC-4.1.2.13
3.2.1.96-RXN	EC-3.2.1.96
RXN-12726	EC-2.5.1.47
RXN0-2584	EC-3.2.2.27
RXN-13698	EC-2.6.1.2
3.1.26.4-RXN	EC-3.1.26.4
FGAMSYN-RXN	EC-6.3.5.3
CHORISMATEMUT-RXN	EC-5.4.99.5
OROTATE-REDUCTASE-NADH-RXN	EC-1.3.1.14
ACSERLY-RXN	EC-2.5.1.47
RXN-8991	
RXN-8631	EC-4.1.2.13
RXN-9718	EC-2.3.1.190
RXN0-4261	
RXN-7800	
2PGADEHYDRAT-RXN	EC-4.2.1.11
ASNSYNA-RXN	EC-6.3.1.1
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
FUCULOKIN-RXN	EC-2.7.1.51
3-ISOPROPYLMALISOM-RXN	
PHEAMINOTRANS-RXN	EC-2.6.1.57
GLYOXI-RXN	EC-4.4.1.5
3-ISOPROPYLMALDEHYDROG-RXN	
RXN-12391	EC-2.4.1.25
2.6.1.57-RXN	EC-2.6.1.57
DHBDEHYD-RXN	EC-1.3.1.28
GLYCOGENSYN-RXN	EC-2.4.1.21
SPONTPRO-RXN	
RXN-1828	EC-2.4.1.25
RXN-12730	EC-2.1.1.14
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
ISOCHORSYN-RXN	EC-5.4.4.2
TYRAMINOTRANS-RXN	EC-2.6.1.57
GLUTRACE-RXN	EC-5.1.1.3
RXN-12193	EC-2.4.1.25
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
RXN-5781	EC-2.7.8.2
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
RXN-8654	EC-2.7.7.63
HOMOCYSMET-RXN	EC-2.1.1.14
MALTODEG-RXN	
2.7.7.60-RXN	EC-2.7.7.60
2.7.7.15-RXN	EC-2.7.7.15
GARTRANSFORMYL2-RXN	EC-2.1.2
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.27
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
AMYLOMALT-RXN	EC-2.4.1.25
RXN-7710	EC-2.4.1.18
GALACTOKIN-RXN	EC-2.7.1.6
RXN-12104	
RXN-9023	EC-2.4.1.25
5.99.1.2-RXN	EC-5.99.1.2
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RXN0-5184	EC-2.4.1.1
RXN-7968	EC-1.1.1.282
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN-7669	EC-2.4.1.18
RXN-12392	EC-2.4.1.1
RXN0-5182	EC-2.4.1.1
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
AGMATINE-DEIMINASE-RXN	EC-3.5.3.12
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
RXN-9025	EC-2.4.1.1
RXN-12171	EC-2.4.1.1
GLYMALTOPHOSPHORYL-RXN	EC-2.4.1.1
XANPRIBOSYLTRAN-RXN	EC-2.4.2.22
RXN-9380	EC-4.1.1.96
RXN-1826	EC-2.4.1.1
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1
LYSDECARBOX-RXN	EC-4.1.1.18
DNA-LIGASE-NAD+-RXN	EC-6.5.1.2
RXN-11573	EC-2.1.1.187
N-ACETYLGLUCOSAMINE-KINASE-RXN	EC-2.7.1.59
1PFRUCTPHOSN-RXN	EC-2.7.1.56
TETHYDPICSUCC-RXN	EC-2.3.1.117
ANTHRANSYN-RXN	EC-4.1.3.27
GLYOXII-RXN	EC-3.1.2.6
RXN-10819	EC-6.2.1.30
RIBOFLAVINKIN-RXN	EC-2.7.1.26
3.4.17.8-RXN	EC-3.4.17.8
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
RXNMETA-12672	EC-1.17.1.7
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
RXNMETA-12671	EC-3.7.1.16
NAD-KIN-RXN	EC-2.7.1.23
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.9
PRTRANS-RXN	EC-2.4.2.18
RXN0-6510	EC-5.3.3.18
RXN-11065	EC-3.4.16.4
RXN0-6512	EC-2.3.1
DCMP-DEAMINASE-RXN	EC-3.5.4.12
RXN-13455	
PRPPSYN-RXN	EC-2.7.6.1
RXN0-2042	EC-1.14.13.149
GLUCONOLACT-RXN	EC-3.1.1.17
RXN0-2044	EC-1.1.1.35
RXN-3641	EC-2.3.1.174
3.5.1.80-RXN	EC-3.5.1.25
3.4.11.18-RXN	EC-3.4.11.18
RXN-11302	EC-3.4.16.4
IGPSYN-RXN	EC-4.1.1.48
NAG6PDEACET-RXN	EC-3.5.1.25
ALCOHOL-DEHYDROG-GENERIC-RXN	EC-1.1.1.1
PRAISOM-RXN	EC-5.3.1.24
RXN-12448	EC-1.1.1.1
RXN-11351	EC-3.4.16.4
PEPCARBOX-RXN	EC-4.1.1.31
ADCLY-RXN	EC-4.1.3.38
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	EC-1.1.1.2
3.4.16.4-RXN	EC-3.4.16.4
GLYOHMETRANS-RXN	EC-2.1.2.1
3.4.17.14-RXN	EC-3.4.17.14
ACETATEKIN-RXN	EC-2.7.2.1
RXN0-2382	EC-4.2.1.122
RXN-10639	
LXULRU5P-RXN	EC-5.1.3.22
BETA-PHOSPHOGLUCOMUTASE-RXN	EC-5.4.2.6
RXN0-6259	EC-1.3.5.3
RXN0-2381	EC-4.1.2.8
TRYPSYN-RXN	EC-4.2.1.20
RXN0-5214	EC-3.1.1
