#
#  spne373153cyc 17.0 Reactions link table generated on Wed Sep 25, 2013
#
RXN-12398	EC-3.2.1.23
RXN-12400	EC-3.2.1.23
RXN-12399	EC-3.2.1.23
RXN-8141	
2.7.13.3-RXN	EC-2.7.13.3
PHOSACETYLTRANS-RXN	EC-2.3.1.8
RXN0-5214	EC-3.1.1
RXN0-5184	EC-2.4.1.1
RXN-13720	EC-5.3.1.9
3.4.11.2-RXN	EC-3.4.11.2
RXN-1461	EC-3.2.1.26
LUMAZINESYN-RXN	EC-2.5.1.78
NANK-RXN	EC-2.7.1.60
NANE-RXN	EC-5.1.3.9
3.1.26.4-RXN	EC-3.1.26.4
NAD-KIN-RXN	EC-2.7.1.23
RXN-6642	EC-3.4.11.2
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
5.1.3.9-RXN	EC-5.1.3.9
PRPPSYN-RXN	EC-2.7.6.1
GAPDHSYNEC-RXN	EC-1.2.1.59
GLURS-RXN	EC-6.1.1.17
RXN-7968	EC-1.1.1.282
3.4.11.18-RXN	EC-3.4.11.18
RXN0-361	EC-3.2.2
1.2.1.13-RXN	EC-1.2.1.13
CYTIDINEKIN-RXN	EC-2.7.1
ASPARAGHYD-RXN	EC-3.5.1.1
CYTDEAM-RXN	EC-3.5.4.1
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
RXN-1961	EC-6.3.4.19
PEPCARBOX-RXN	EC-4.1.1.31
DALADALALIG-RXN	EC-6.3.2.4
RXN0-5100	EC-5.99.1
THRESYN-RXN	EC-4.2.3.1
RXN-11277	EC-3.1.3.81
3.2.1.135-RXN	EC-3.2.1.135
1.1.1.34-RXN	EC-1.1.1.34
RXN-8808	
RXN-11836	EC-5.4.99.22
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
GLYOHMETRANS-RXN	EC-2.1.2.1
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	EC-1.1.1.2
RIBOPHOSPHAT-RXN	
