#
#  spne487213cyc 17.0 Pathways link table generated on Wed Sep 25, 2013
#
PWY-7003	glycerol degradation to butanol	
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)
PYRUVOX-PWY	pyruvate oxidation pathway	
FERMENTATION-PWY	mixed acid fermentation	fermentation
P122-PWY	heterolactic fermentation	lactate heterofermentation	glucose fermentation to lactate	phosphoketolase pathway
PWY-5939	(<i>R</i>)-acetoin biosynthesis II	D-acetoin biosynthesis II
PWY-5485	pyruvate fermentation to acetate IV	
PWY-5480	pyruvate fermentation to ethanol I	
PWY-5481	pyruvate fermentation to lactate	
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
P21-PWY	pentose phosphate pathway (partial)	pentose phosphate pathway, Mycoplasma pneumonia
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
ANARESP1-PWY	respiration (anaerobic)	anaerobic respiration
PWY-6502	oxidized GTP and dGTP detoxification	8-oxo-(d)GTP detoxification	oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification	8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY0-1299	arginine dependent acid resistance	
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	
PWY-7096	triclosan resistance	
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	penicillin resistance	&beta;-lactam resistance
PWY-4621	arsenate detoxification II (glutaredoxin)	
PWY-5386	methylglyoxal degradation I	
TRNA-CHARGING-PWY	tRNA charging	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
P1-PWY	purine and pyrimidine metabolism	
ARGDEGRAD-PWY	arginine degradation V (arginine deiminase pathway)	arginine dihydrolase pathway	arginine deiminase degradation
KETOGLUCONMET-PWY	ketogluconate metabolism	
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	
THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I	superpathway of thiamin diphosphate biosynthesis (E .coli)	superpathway of vitamin B<sub>1</sub> biosynthesis (E .coli)
PWY-6125	guanosine nucleotides <i>de novo</i> biosynthesis	
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PWY0-41	allantoin degradation IV (anaerobic)	
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (<i>E. coli</i>)	
PWY-5121	superpathway of geranylgeranyldiphosphate biosynthesis II (via MEP)	GGPP biosynthesis II (plastidic)
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	GGPP biosynthesis
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	
METSYN-PWY	homoserine and methionine biosynthesis	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of leucine, valine, and isoleucine biosynthesis	branched amino acid biosynthesis
PWY-5347	superpathway of methionine biosynthesis (transsulfuration)	
PWY-3001	isoleucine biosynthesis I	superpathway of isoleucine biosynthesis
THRESYN-PWY	threonine biosynthesis	
ARGSYN-PWY	arginine biosynthesis I	
PWY0-1061	superpathway of alanine biosynthesis	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
COMPLETE-ARO-PWY	superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis	complete aromatic amino acid biosynthesis	aromatic amino acid biosynthesis
PWY-5345	superpathway of methionine biosynthesis (by sulfhydrylation)	
PWY-6517	<i>N</i>-acetylglucosamine degradation II	
PWY-6151	<i>S</i>-adenosyl-L-methionine cycle I	SAM cycle	activated methyl cycle	AMC
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	
PWY-6126	adenosine nucleotides <i>de novo</i> biosynthesis	
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	
PWY-6901	xylose degradation IV	
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY0-381	glycerol and glycerophosphodiester degradation	
PWY-6897	thiamin salvage II	
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminic acid dissimilation
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	polyamn
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY-5043	purine nucleosides salvage II (plant)	purine recycle pathways
PWY-841	purine nucleotides <i>de novo</i> biosynthesis II	purine biosynthesis 2
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	
DENOVOPURINE2-PWY	purine nucleotides <i>de novo</i> biosynthesis I	
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY-922	mevalonate pathway I	isoprenoid pathway	MVA pathway	isopentenyl diphosphate biosynthesis - mevalonate dependent
PWY-5142	acyl-ACP thioesterase pathway	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
PWY0-862	<i>cis</i>-dodecenoyl biosynthesis	fatty acid elongation -- unsaturated
PWY-5973	<i>cis</i>-vaccenate biosynthesis	<i>cis</i> vaccenic acid acid biosynthesis
PWY-5971	palmitate biosynthesis II (bacteria and plants)	palmitic acid biosynthesis	de novo lipogenesis
PWY-6282	palmitoleate biosynthesis I	palmitoleic acid biosynthesis I
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-5668	cardiolipin biosynthesis I	
PWY3O-450	phosphatidylcholine biosynthesis I	CDP-choline pathway
